"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Eugenia candolleana",1840911634,-6.999167,-35.666111,"cdround,gass84"
"2","Eugenia candolleana",1944983793,-12.160278,-39.331667,"gass84"
"3","Eugenia candolleana",1455752740,-11.783333,-37.933333,"gass84"
"4","Eugenia candolleana",1324589661,-10.5521,-37.0607,"gass84"
"5","Eugenia candolleana",1455893700,-14.797222,-39.170833,"gass84"
"6","Eugenia candolleana",1423917416,-9.108889,-37.726389,"cdround,gass84"
"7","Eugenia candolleana",1094944074,-11.45,-37.35,"gass84"
"8","Eugenia candolleana",1213517481,-11.0053,-37.1223,"gass84"
"9","Eugenia candolleana",1265916266,-11.8,-37.6,"gass84"
"10","Eugenia candolleana",1587329174,-7.073611,-47.095833,"cdround,gass84"
"11","Eugenia candolleana",1264714290,-5.283333,-45.283333,"gass84"
"12","Eugenia candolleana",1087693133,-10.718167,-37.131417,"gass84"
"13","Eugenia candolleana",1087693131,-10.863611,-37.628611,"gass84"
"14","Eugenia candolleana",1087695090,-10.5034,-37.083,"gass84"
"15","Eugenia candolleana",1087694304,-10.728611,-37.186944,"gass84"
"16","Eugenia candolleana",1423897277,-21.466944,-41.565278,"cdround,gass84"
"17","Eugenia candolleana",1095811251,-10.688611,-37.148333,"gass84"
"18","Eugenia candolleana",1095811250,-10.1035,-37.419861,"gass84"
"19","Eugenia candolleana",1264707741,-12.593056,-39.007222,"gass84"
"20","Eugenia candolleana",1658216768,-11.512222,-37.579722,"gass84"
"21","Eugenia candolleana",1087695315,-11.304369,-37.344713,"gass84"
"22","Eugenia candolleana",1087695955,-10.4823,-37.1011,"gass84"
"23","Eugenia candolleana",1423897219,-21.361111,-41.615833,"cdround,gass84"
"24","Eugenia candolleana",1077419827,-27.099167,-48.895833,"cdround,gass84"
"25","Eugenia candolleana",1424505465,-21.761111,-41.036389,"cdround,gass84"
"26","Eugenia candolleana",1077245308,-11.55,-37.783333,"gass84"
"27","Eugenia candolleana",1456395513,-10.2044,-38.5356,"gass84"
"28","Eugenia candolleana",1094925468,-10.204444,-38.535556,"gass84"
"29","Eugenia candolleana",1424480019,-10.204444,-38.535555,"cdround,gass84"
"30","Eugenia candolleana",1423915035,-22.975556,-43.013611,"cdround,gass84"
"31","Eugenia candolleana",1930745814,-9.2544,-36.4306,"gass84"
"32","Eugenia candolleana",1089186617,-9.254444,-36.430556,"gass84"
"33","Eugenia candolleana",1587330837,-8.327222,-35.753333,"cdround,gass84"
"34","Eugenia candolleana",1929583386,-8.3272,-35.7533,"gass84"
"35","Eugenia candolleana",1090146365,-6.602222,-47.586389,"gass84,txmatfuz"
"36","Eugenia candolleana",1090146355,-6.65,-47.683889,"gass84,txmatfuz"
"37","Eugenia candolleana",1061257338,-6.65,-47.68,"gass84"
"38","Eugenia candolleana",1087686125,-11.373889,-37.657778,"gass84"
"39","Eugenia candolleana",1213648117,-18.85,-40.661389,"gass84"
"40","Eugenia candolleana",1077417340,-27.08,-49.019444,"cdround,gass84"
"41","Eugenia candolleana",1213648099,-18.980556,-40.6625,"gass84"
"42","Eugenia candolleana",1090146472,-12.315556,-37.8375,"gass84"
"43","Eugenia candolleana",1587319087,-10.225833,-36.285278,"gass84"
"44","Eugenia candolleana",1913574531,-23.869722,-46.869722,"gass84"
"45","Eugenia candolleana",1090905338,-8.534167,-37.201361,"cdround,gass84"
"46","Eugenia candolleana",1077237814,-12.240278,-37.774444,"gass84"
"47","Eugenia candolleana",1077237747,-12.1025,-37.696111,"gass84"
"48","Eugenia candolleana",1077237687,-11.961667,-37.623333,"gass84"
"49","Eugenia candolleana",1587316083,-9.559167,-36.809167,"gass84"
"50","Eugenia candolleana",1424409182,-7.115,-34.863056,"cdround,gass84"
"51","Eugenia candolleana",1090905411,-9.076056,-38.142806,"cdround,gass84"
"52","Eugenia candolleana",1424512820,-5.701111,-35.208056,"cdround,gass84"
"53","Eugenia candolleana",1090908115,-10.513917,-40.319528,"cdround,gass84"
"54","Eugenia candolleana",1424444047,-7.606111,-34.820556,"cdround,gass84"
"55","Eugenia candolleana",1587312781,-9.201944,-38.225833,"gass84"
"56","Eugenia candolleana",1587313049,-9.755569,-36.663958,"gass84"
"57","Eugenia candolleana",1087680342,-9.805278,-37.684167,"gass84"
"58","Eugenia candolleana",1587313531,-9.618611,-37.3925,"gass84"
"59","Eugenia candolleana",1077402114,-26.603056,-49.339722,"cdround,gass84"
"60","Eugenia candolleana",1099614923,-10.347222,-38.145556,"gass84"
"61","Eugenia candolleana",1077409270,-26.891111,-49.084444,"cdround,gass84"
"62","Eugenia candolleana",1087680421,-9.4819,-37.4103,"gass84"
"63","Eugenia candolleana",2027482168,-26.5328,-49.054,"gass84"
"64","Eugenia candolleana",1094877775,-10.95,-38.716667,"gass84"
"65","Eugenia candolleana",1089179544,-7.188056,-34.629722,"gass84"
"66","Eugenia candolleana",1087682860,-10.291111,-36.607778,"gass84"
"67","Eugenia candolleana",1928017882,-7.19161356572848,-34.6293066880973,"cdrep"
"68","Eugenia candolleana",1094876688,-8.4425,-36.990556,"gass84"
"69","Eugenia candolleana",1587317823,-9.970833,-37.003333,"gass84"
"70","Eugenia candolleana",1424486644,-7.188055,-34.629722,"cdround,gass84"
"71","Eugenia candolleana",1123823386,-18.573611,-40.993056,"gass84"
"72","Eugenia candolleana",1089181685,-6.493611,-34.978611,"gass84"
"73","Eugenia candolleana",1213637624,-8.268333,-47.786944,"gass84"
"74","Eugenia candolleana",1213633731,-6.771667,-47.740278,"gass84"
"75","Eugenia candolleana",1094879484,-12.231389,-38.874722,"gass84"
"76","Eugenia candolleana",1087694761,-10.5954,-37.1837,"gass84"
"77","Eugenia candolleana",1087080020,-7.908611,-35.425,"cdround,gass84"
"78","Eugenia candolleana",1424463267,-7.908611,-35.046944,"cdround,gass84"
"79","Eugenia candolleana",1087681122,-10.918056,-37.65,"gass84"
"80","Eugenia candolleana",1657213352,-10.4822,-37.543,"gass84"
"81","Eugenia candolleana",1090904488,-7.430658,-39.713344,"cdround,gass84"
"82","Eugenia candolleana",1090897449,-9.067222,-38.133889,"cdround,gass84"
"83","Eugenia candolleana",1077605009,-10.618611,-37.6425,"gass84"
"84","Eugenia candolleana",1928434134,-7.7933,-35.0003,"gass84"
"85","Eugenia candolleana",1424443701,-7.793333,-35.000278,"cdround,gass84"
"86","Eugenia candolleana",1423917163,-21.843055,-41.003056,"cdround,gass84"
"87","Eugenia candolleana",1929854128,-7.7525,-34.9819,"gass84"
"88","Eugenia candolleana",1090936677,-7.7525,-34.981944,"gass84"
"89","Eugenia candolleana",1087077430,-7.787,-35.005433,"cdround,gass84"
"90","Eugenia candolleana",1424465226,-7.75,-34.966667,"cdround,gass84"
"91","Eugenia candolleana",1087079647,-6,-34,"gass84"
"92","Eugenia candolleana",1928325577,-6.4958,-34.9808,"gass84"
"93","Eugenia candolleana",1424371094,-22.491389,-42.711667,"cdround,gass84"
"94","Eugenia candolleana",1089177330,-6.495833,-34.980833,"gass84"
"95","Eugenia candolleana",1089116380,-9.612611,-48.416361,"gass84"
"96","Eugenia candolleana",1087678454,-8.614225,-37.158333,"gass84"
"97","Eugenia candolleana",1077233134,-14.181389,-39.708611,"gass84"
"98","Eugenia candolleana",1077607289,-10.666667,-36.701944,"gass84"
"99","Eugenia candolleana",1213637672,-8.482222,-48.185556,"gass84"
"100","Eugenia candolleana",1090577816,-22.9056,-47.0608,"gass84"
"101","Eugenia candolleana",1211325214,-20.767,-41.555,"gass84"
"102","Eugenia candolleana",1087071857,-8.2205,-35.004889,"cdround,gass84"
"103","Eugenia candolleana",1087648162,-19.431861,-43.432861,"gass84"
"104","Eugenia candolleana",1944973710,-17.716389,-39.198611,"gass84"
"105","Eugenia candolleana",1252620300,-19.431667,-43.432778,"gass84"
"106","Eugenia candolleana",1424322640,-17.716389,-39.198333,"cdround,gass84"
"107","Eugenia candolleana",1829083864,-8.201944,-34.985278,"gass84"
"108","Eugenia candolleana",1094854961,-12.1975,-38.970278,"gass84"
"109","Eugenia candolleana",1094875524,-12.016667,-38.033333,"gass84"
"110","Eugenia candolleana",1087646242,-12.579444,-38.013611,"gass84"
"111","Eugenia candolleana",1077229281,-12.966667,-38.5,"gass84"
"112","Eugenia candolleana",1094836743,-13.166667,-39.15,"gass84"
"113","Eugenia candolleana",1424421765,-22.922778,-42.999444,"cdround,gass84"
"114","Eugenia candolleana",1424421782,-22.922222,-42.999722,"cdround,gass84"
"115","Eugenia candolleana",1090148103,-18.991667,-40.662222,"gass84"
"116","Eugenia candolleana",1123812286,-18.984167,-40.662222,"gass84"
"117","Eugenia candolleana",1252641633,-12.16,-39.18,"gass84"
"118","Eugenia candolleana",1094838721,-12.25,-39.066667,"gass84"
"119","Eugenia candolleana",1094837537,-12.161667,-39.183889,"gass84"
"120","Eugenia candolleana",2013096078,-13.572222,-39.188889,"gass84"
"121","Eugenia candolleana",1090434592,-12.25,-38.966667,"gass84"
"122","Eugenia candolleana",1123813921,-20.519167,-41.100556,"gass84"
"123","Eugenia candolleana",1077228232,-12.55,-41.383333,"gass84"
"124","Eugenia candolleana",1094821472,-12.025833,-38.639444,"gass84"
"125","Eugenia candolleana",1090573842,-21.4292,-45.9472,"gass84"
"126","Eugenia candolleana",1094825631,-10.661944,-40.341944,"gass84"
"127","Eugenia candolleana",1123811580,-20.123056,-40.546389,"gass84"
"128","Eugenia candolleana",1077600134,-10.026667,-36.285556,"gass84"
"129","Eugenia candolleana",1424250286,-19.223333,-39.975556,"cdround,gass84"
"130","Eugenia candolleana",2005868518,-12.433333,-41.469167,"gass84"
"131","Eugenia candolleana",1123808241,-19.780556,-40.604167,"gass84"
"132","Eugenia candolleana",1094813919,-12.302778,-40.4875,"gass84"
"133","Eugenia candolleana",1424212805,-20.150556,-40.448611,"cdround,gass84"
"134","Eugenia candolleana",1424144584,-20.904722,-41.803611,"cdround,gass84"
"135","Eugenia candolleana",1424237239,-14.770278,-39.536111,"cdround,gass84"
