"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Miconia lepidota",1898863098,-8.9575,-58.571667,"cdround,gass84"
"2","Miconia lepidota",1932885213,1.36,-72.91,"gass84"
"3","Miconia lepidota",1413723618,-6.055833,-50.253611,"gass84"
"4","Miconia lepidota",1264701977,-20.491,-41.758,"gass84"
"5","Miconia lepidota",1932887239,1.74,-75.67,"gass84"
"6","Miconia lepidota",1086683726,-13.578,-39.711,"gass84"
"7","Miconia lepidota",1929477958,-13.57825,-39.71081,"gass84"
"8","Miconia lepidota",1087701695,-13.578056,-39.710556,"gass84"
"9","Miconia lepidota",1424502078,-13.566667,-39.7,"cdround,gass84"
"10","Miconia lepidota",2005908240,-22.5246,-44.7126,"gass84,preswcd"
"11","Miconia lepidota",1423897716,-22.528333,-42.315833,"cdround,gass84"
"12","Miconia lepidota",1424444703,-22.392222,-44.304444,"cdround,gass84"
"13","Miconia lepidota",1424444721,-22.343611,-44.310833,"cdround,gass84"
"14","Miconia lepidota",1913572547,-22.530833,-42.304167,"gass84"
"15","Miconia lepidota",1424444770,-22.389722,-44.304444,"cdround,gass84,muluriiv"
"16","Miconia lepidota",1899742437,-22.517778,-42.310556,"gass84"
"17","Miconia lepidota",1423897772,-22.536944,-42.305833,"cdround,gass84"
"18","Miconia lepidota",1423897791,-22.531111,-42.304167,"cdround,gass84"
"19","Miconia lepidota",1423897779,-22.533056,-42.3075,"cdround,gass84"
"20","Miconia lepidota",1913572496,-22.538056,-42.305556,"gass84"
"21","Miconia lepidota",1423897801,-22.538055,-42.305556,"cdround,gass84"
"22","Miconia lepidota",1423897811,-22.556389,-42.292778,"cdround,gass84"
"23","Miconia lepidota",1424448234,-19.441944,-40.209167,"cdround,gass84"
"24","Miconia lepidota",1090892820,-6.206667,-57.824444,"gass84"
"25","Miconia lepidota",1090153732,-6.363611,-56.744167,"gass84"
"26","Miconia lepidota",1424330853,-9.731111,-52.606944,"cdround,gass84"
"27","Miconia lepidota",1252589602,-9.731,-52.607,"gass84"
"28","Miconia lepidota",1928341751,-9.7311,-52.6069,"gass84"
"29","Miconia lepidota",1424361292,-22.744444,-43.785555,"cdround,gass84"
"30","Miconia lepidota",1226941258,-20.4642,-41.4131,"gass84"
"31","Miconia lepidota",1424374253,-3.3625,-55.216389,"cdround,gass84"
"32","Miconia lepidota",1930152420,-3.36242,-55.21633,"gass84"
"33","Miconia lepidota",1095248714,-9.605833,-64.943333,"cdround,gass84"
"34","Miconia lepidota",1424471460,-9.6,-64.933333,"cdround,gass84"
"35","Miconia lepidota",1424303564,-1.181944,-52.576944,"cdround,gass84"
"36","Miconia lepidota",1424424169,-22.419722,-42.609444,"cdround,gass84"
"37","Miconia lepidota",1265933831,1.487,-61.011,"gass84"
"38","Miconia lepidota",1265933864,1.396,-60.985,"gass84"
"39","Miconia lepidota",1042684427,1.19801,-60.98,"elmms,gass84,gdativ"
"40","Miconia lepidota",1265933828,1.477,-61.013,"gass84"
"41","Miconia lepidota",1929923416,1.318329,-61.131878,"cdround"
"42","Miconia lepidota",1077579692,-7.970833,-34.122222,"gass84"
"43","Miconia lepidota",1932890529,-0.43,-70.25,"gass84"
"44","Miconia lepidota",1424407159,-22.642778,-44.656667,"cdround,gass84"
"45","Miconia lepidota",1086671260,-22.633333,-44.65,"gass84"
"46","Miconia lepidota",1147302038,0.59,-70.34,"gass84"
"47","Miconia lepidota",1928284780,0.591778,-70.344111,"cdround,gass84"
"48","Miconia lepidota",1226941270,-19.3213,-40.071,"gass84"
"49","Miconia lepidota",1090578936,-22.4361,-46.8217,"gass84"
"50","Miconia lepidota",1928158965,1.01264,-71.29575,"gass84"
"51","Miconia lepidota",1147302606,1.01,-71.29,"gass84"
"52","Miconia lepidota",1087645336,-19.891611,-43.915972,"gass84"
"53","Miconia lepidota",1989888702,-21.620556,-48.537222,"gass84,preneglat,preneglon"
"54","Miconia lepidota",1077481550,-20.276111,-40.525,"gass84"
"55","Miconia lepidota",1087649244,-20.056667,-43.691278,"gass84"
"56","Miconia lepidota",1087649208,-20.093806,-43.683111,"gass84"
"57","Miconia lepidota",1096930742,-20.634074,-41.591115,"gass84"
"58","Miconia lepidota",1135073772,-19.396361,-43.402056,"gass84"
"59","Miconia lepidota",1086671256,-19.383333,-43.4,"gass84"
"60","Miconia lepidota",1077303885,-11.873056,-55.048333,"gass84"
