"","name","key","decimalLatitude","decimalLongitude","issues"
"1","Myrcia anceps",1837800752,-21.931667,-41.928333,"cdround,gass84"
"2","Myrcia anceps",1837800790,-21.929722,-41.925,"cdround,gass84"
"3","Myrcia anceps",1094915882,-9.358611,-64.658889,"gass84"
"4","Myrcia anceps",1587326324,-9.321111,-64.677777,"cdround,gass84"
"5","Myrcia anceps",1213618476,-20.081667,-43.506389,"gass84"
"6","Myrcia anceps",1123813254,-20.058611,-40.470639,"gass84"
"7","Myrcia anceps",1424242495,-22.532222,-42.346111,"cdround,gass84"
"8","Myrcia anceps",1123810089,-20.103333,-40.441944,"gass84"
"9","Myrcia anceps",1424301116,-22.525833,-42.347778,"cdround,gass84"
"10","Myrcia anceps",1123811364,-20.129167,-40.554167,"gass84"
"11","Myrcia anceps",912287094,-21.43,-42.96,"gass84"
"12","Myrcia anceps",1123801707,-19.9075,-40.553056,"gass84"
"13","Myrcia anceps",1265912399,-20.289722,-40.5175,"gass84"
"14","Myrcia anceps",1424076143,-22.579722,-42.994444,"cdround,gass84"
"15","Myrcia anceps",1424118692,-22.376389,-42.292778,"cdround,gass84"
"16","Myrcia anceps",1090867751,-20.270833,-40.777222,"gass84"
"17","Myrcia anceps",1265912237,-19.816667,-43.666667,"gass84"
"18","Myrcia anceps",1123793644,-20.363333,-40.659167,"gass84"
"19","Myrcia anceps",1265912935,-22.5,-42.25,"gass84"
"20","Myrcia anceps",1930626164,-20.3721180444895,-41.2439323195849,"cdrep"
"21","Myrcia anceps",1897660858,-14.25,-54.333333,"cdround,cuiv"
"22","Myrcia anceps",1424362528,-22.583333,-43.033333,"cdround,gass84"
"23","Myrcia anceps",1929416895,-19.83305,-43.726389,"cdround"
"24","Myrcia anceps",1213624944,-19.82,-43.96,"gass84"
"25","Myrcia anceps",1228234653,-22,-42.5,"gass84"
"26","Myrcia anceps",1929941709,-18.9729787114355,-49.4655833228074,"cdrep"
"27","Myrcia anceps",912233625,-22.7,-43.15,"gass84"
"28","Myrcia anceps",1228286588,-10.8339,-52.8731,"gass84"
"29","Myrcia anceps",1099073746,-10,-55,"rdativ"
"30","Myrcia anceps",912287113,-22.62,-42.38,"gass84"
"31","Myrcia anceps",912233599,-22.37,-41.77,"gass84,rdativ"
"32","Myrcia anceps",912233608,-22.9,-43.05,"gass84,rdativ"
