"","name","key","decimalLatitude","decimalLongitude","issues","tmean1","tmean2","tmean3","tmean4","tmean5","tmean6","tmean7","tmean8","tmean9","tmean10","tmean11","tmean12"
"1","Miconia cinnamomifolia",1853940307,-26.957222,-49.087222,"cdround,gass84",242,238,221,198,170,158,157,166,181,199,218,219
"2","Miconia cinnamomifolia",1835735716,-22.358889,-43.735278,"cdround,gass84",231,231,220,202,181,171,169,182,194,202,213,215
"3","Miconia cinnamomifolia",1835735576,-22.403056,-42.669444,"cdround,gass84",212,210,196,174,156,148,149,159,173,183,191,189
"4","Miconia cinnamomifolia",1840912765,-22.397222,-42.737778,"cdround,gass84",234,233,221,200,180,171,170,180,192,204,213,215
"5","Miconia cinnamomifolia",1840912823,-22.396389,-42.7375,"cdround,gass84",234,233,221,200,180,171,170,180,192,204,213,215
"6","Miconia cinnamomifolia",1845613842,-22.365,-43.773056,"cdround,gass84",219,220,210,193,172,160,157,170,183,191,201,206
"7","Miconia cinnamomifolia",1845613760,-22.360278,-43.781389,"cdround,gass84",219,220,210,193,172,160,157,170,183,191,201,206
"8","Miconia cinnamomifolia",1676476822,-24.684722,-48.580278,"gass84",252,251,239,212,180,166,164,180,195,215,231,244
"9","Miconia cinnamomifolia",1848250860,-24.684667,-48.580361,"gass84",252,251,239,212,180,166,164,180,195,215,231,244
"10","Miconia cinnamomifolia",1853943143,-20.41,-43.394444,"gass84",214,215,208,192,172,159,154,169,185,196,202,205
"11","Miconia cinnamomifolia",1913566211,-18.912431,-43.419966,"gass84",233,230,220,203,184,172,177,191,208,219,223,216
"12","Miconia cinnamomifolia",1978385747,-23.284722,-44.626389,"gass84",257,258,250,231,211,198,194,203,214,225,237,243
"13","Miconia cinnamomifolia",1913577706,-23.100556,-48.903611,"gass84",231,231,223,201,182,171,165,180,190,202,214,221
"14","Miconia cinnamomifolia",1563171067,-26.960556,-49.325278,"cdround,gass84",247,243,223,198,170,161,164,172,187,207,228,220
"15","Miconia cinnamomifolia",1316183531,-24.064444,-47.974444,"gass84",211,211,203,180,153,140,135,148,162,176,190,202
"16","Miconia cinnamomifolia",1086684467,-19.877,-43.778,"gass84",226,225,217,200,181,170,174,189,205,214,217,213
"17","Miconia cinnamomifolia",1423904079,-22.276389,-44.389167,"cdround,gass84",204,203,197,179,156,143,139,153,170,180,187,194
"18","Miconia cinnamomifolia",2005002761,-24.517222,-48.823056,"gass84",212,212,199,172,139,127,127,143,159,177,192,203
"19","Miconia cinnamomifolia",1213523888,-26.368056,-49.139722,"cdround,gass84",229,226,214,188,162,149,145,155,169,187,204,212
"20","Miconia cinnamomifolia",1844430490,-20.597222,-40.421944,"gass84,preswcd",273,272,259,244,230,222,224,228,236,246,257,250
"21","Miconia cinnamomifolia",1264698375,-22.822222,-49.236667,"gass84",232,232,224,204,178,168,167,181,195,207,219,226
"22","Miconia cinnamomifolia",1077422293,-26.929444,-48.625556,"cdround,gass84",239,238,230,205,181,164,156,163,175,192,207,223
"23","Miconia cinnamomifolia",1587291829,-19.656647,-43.319672,"gass84",222,221,214,196,177,166,164,177,194,205,211,210
"24","Miconia cinnamomifolia",1931781020,-19.656667,-43.319722,"gass84",222,221,214,196,177,166,164,177,194,205,211,210
"25","Miconia cinnamomifolia",1423898010,-22.561389,-42.278333,"cdround,gass84",257,259,253,237,219,208,204,208,216,227,236,245
"26","Miconia cinnamomifolia",1423898080,-22.561111,-42.278056,"cdround,gass84",257,259,253,237,219,208,204,208,216,227,236,245
"27","Miconia cinnamomifolia",1423898034,-22.557778,-42.279444,"cdround,gass84",257,259,253,237,219,208,204,208,216,227,236,245
"28","Miconia cinnamomifolia",1913572523,-22.559444,-42.279722,"gass84",257,259,253,237,219,208,204,208,216,227,236,245
"29","Miconia cinnamomifolia",1423898026,-22.558889,-42.281111,"cdround,gass84",257,259,253,237,219,208,204,208,216,227,236,245
"30","Miconia cinnamomifolia",1213691546,-19.117222,-39.915278,"gass84",265,266,256,242,228,219,219,223,233,243,252,247
"31","Miconia cinnamomifolia",1077423434,-26.910278,-49.429167,"cdround,gass84",212,209,194,168,142,129,128,139,152,170,188,194
"32","Miconia cinnamomifolia",1890741559,-18.358611,-39.833611,"cdround,gass84",262,263,256,244,230,220,218,222,234,241,249,248
"33","Miconia cinnamomifolia",1086683707,-13.579,-39.696,"gass84",230,232,228,219,206,197,195,199,209,217,224,222
"34","Miconia cinnamomifolia",1424502236,-13.578889,-39.695833,"cdround,gass84",230,232,228,219,206,197,195,199,209,217,224,222
"35","Miconia cinnamomifolia",1930962793,-13.57889,-39.696,"gass84",230,232,228,219,206,197,195,199,209,217,224,222
"36","Miconia cinnamomifolia",1087700811,-13.578611,-39.695,"gass84",230,232,228,219,206,197,195,199,209,217,224,222
"37","Miconia cinnamomifolia",1090145350,-21.064556,-44.108611,"gass84",219,219,210,192,173,162,163,177,191,202,207,206
"38","Miconia cinnamomifolia",1424478664,-21.05,-44.1,"gass84",219,219,210,192,173,162,163,177,191,202,207,206
"39","Miconia cinnamomifolia",1658216192,-21.064444,-44.108611,"gass84",219,219,210,192,173,162,163,177,191,202,207,206
"40","Miconia cinnamomifolia",2005906362,-24.024,-47.315,"gass84",219,219,213,192,169,155,149,158,170,183,197,209
"41","Miconia cinnamomifolia",2005903118,-24.110555,-47.204722,"gass84,txmatfuz",240,241,234,214,191,177,169,179,190,203,217,230
"42","Miconia cinnamomifolia",1123828261,-22.286389,-41.730556,"gass84",254,256,252,237,219,207,200,205,213,224,232,245
"43","Miconia cinnamomifolia",1123828832,-22.285556,-41.731944,"gass84",254,256,252,237,219,207,200,205,213,224,232,245
"44","Miconia cinnamomifolia",1424512701,-22.431944,-44.529167,"cdround,gass84",242,243,235,216,195,180,176,188,203,215,223,230
"45","Miconia cinnamomifolia",1424505577,-21.776667,-41.0675,"cdround,gass84",255,259,254,237,222,210,204,209,216,226,235,246
"46","Miconia cinnamomifolia",1587291741,-19.009564,-43.393836,"gass84",228,226,216,198,180,168,172,186,203,214,217,211
"47","Miconia cinnamomifolia",1931780846,-19.009444,-43.393889,"gass84",228,226,216,198,180,168,172,186,203,214,217,211
"48","Miconia cinnamomifolia",1094931536,-22.134444,-42.3,"gass84",231,227,215,192,174,167,171,181,195,206,215,207
"49","Miconia cinnamomifolia",1848247283,-22.185,-42.435,"gass84",225,221,206,183,166,159,165,175,189,201,209,199
"50","Miconia cinnamomifolia",1913568517,-6.431111,-50.2875,"gass84",245,245,249,250,249,247,250,254,254,252,248,248
"51","Miconia cinnamomifolia",1700733261,-18.668028,-39.803556,"gass84",264,265,256,243,229,220,220,224,234,243,251,247
"52","Miconia cinnamomifolia",1944982770,-15.173056,-39.132222,"gass84",253,254,249,241,227,220,225,234,237,243,249,243
"53","Miconia cinnamomifolia",1087664127,-19.882222,-43.971667,"gass84",230,228,219,200,182,174,182,198,212,220,222,215
"54","Miconia cinnamomifolia",1928645235,-22.696944,-43.937222,"gass84",236,235,223,204,182,171,171,183,195,207,220,219
"55","Miconia cinnamomifolia",1942432640,-24.18,-47.92,"cudc,gass84",240,240,231,208,181,167,161,174,186,202,217,230
"56","Miconia cinnamomifolia",1890644551,-18.704167,-39.795,"gass84",264,265,256,243,229,220,220,224,234,243,251,247
"58","Miconia cinnamomifolia",1089104830,-22.355417,-44.803306,"gass84",177,177,171,153,132,120,115,130,148,157,163,169
